County,count,Year Finished or Found*
Adams-Normandie,13,"1990,
1949,
1949,
1949,
1993,
1992,
1992,
1992,
1992,
1949,
1949,
1949,
1949"
Alhambra,2,"1939,
1978"
Angelino Heights,10,"1939,
1986,
1990,
1990,
1990,
1990,
1984,
1984,
1984,
1984"
Arleta,1,1994
Athens,1,1995
Baldwin Hills/Crenshaw,1,1995
Bell,1,1992
Belmont Shore,3,"1994,
1990,
1939"
Beverly Grove,3,"1994,
1969-1970,
1991"
Beverly Hills,1,1934
Bixby Knolls,2,"1989,
1989"
Boyle Heights,389,"1974,
1989,
1971,
1971,
1971,
1971,
1971,
1970,
1970,
1970,
1970,
1970,
1971,
1971,
1971,
1971,
1971,
1970,
1970,
1970,
1970,
1970,
1973,
1973,
1975,
1975,
1975,
1974,
1976,
1977,
1974,
1974,
1974,
1974,
1975,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1983,
1973,
1987,
1987,
1987,
1987,
1983,
1984,
1976,
1976,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1975,
1991,
1991,
1991,
1993,
1993,
1976,
1973,
1973,
1976,
1979,
1979,
1979,
1979,
1979,
1979,
1979,
1973,
1990,
1997,
1989,
1973,
1988,
1991,
1991,
1991,
1974,
1974,
1974,
1974,
1974,
1974,
1976,
1976,
1975,
1975,
1975,
1975,
1975,
1975,
1992,
1992,
1980,
1980,
1980,
1980,
1980,
1980,
1980,
1980,
1980,
1980,
1980,
1980,
1980,
1980,
1980,
1980,
1980,
1991,
1994,
1994,
1992,
1990,
1994,
1976,
1976,
1974,
1991,
1991,
1991,
1991,
1976,
1970,
1973,
1974,
1980,
1978,
1978,
1973,
1973,
1990,
1973,
1973,
1973,
1973,
1973,
1973,
1973,
1973,
1976,
1976,
1991,
1978,
1987,
1975,
1992,
1992,
1992,
1992,
1992,
1992,
1982,
1982,
1974,
1989,
1994,
1994,
1994,
1978,
1977,
1974,
1974,
1973,
1975,
1975,
1999,
1974,
1976,
1976,
1975,
1975,
1975,
1975,
1976,
1976,
1980,
1980,
1980,
1980,
1980,
1980,
1975,
1975,
1975,
1976,
1975,
1975,
1975,
1975,
1975,
1976,
1970,
1976,
1989,
1989,
1989,
1989,
1993,
1978,
1978,
1974,
1991,
1991,
1991,
1991,
1976,
1975,
1975,
1975,
1975,
1975,
1975,
1995,
1973,
1973,
1973,
1973,
1975,
1973,
1973,
1973,
1973,
1973,
1973,
1973,
1975,
1973,
1973,
1973,
1978,
1978,
1978,
1978,
1978,
1978,
1978,
1978,


































































































































































































































































































































































































































































































































































































































"
Broadway-Manchester,3,"1978,
1978,
1978"
Bunker Hill,4,"1990,
1987,
1983,
1991"
Burbank,3,"1940,
1998,
1942"
Calabasas,1,1989
Carson,3,"1992,
1992,
1992"
Central-Alameda,3,"1990,
2001,
1937"
Century City,1,1937
Chesterfield Square,1,1992
Cheviot Hills,4,"1992,
1992,
1992,
1992,"
Chinatown,7,"1968,
1944,
1991,
1977,
1976,
1941,
1984,"
Claremont,14,"1946,
1946,
1946,
1946,
1946,
2000,
1930,
1930,
1930,
1967,
1966,
1960,
1965,
1969,"
Commerce,5,"1979,
1983,
1983,
1983,
1991,"
Compton,5,"1990,
1999,
1995,
1936,
1977,"
Culver City,6,"1997,
1979,
1979,
1979,
1979,
1979,"
Del Rey,6,"1988,
1988,
1988,
1988,
1988,
1988,"
Downey,1,"1982,"
Downtown,64,"1984,
1984,
1984,
1942,
1992,
1992,
1992,
1992,
1992,
1992,
1984,
1979,
1996,
1985,
1988,
1992,
1992,
1992,
1992,
1992,
1984,
1984,
1984,
1984,
1984,
1931,
1975,
1996,
1993,
1994,
1994,
1994,
1983,
1986,
1986,
1986,
1974,
1982,
1980,
1974,
1993,
1978,
1984,
1994,
1973,
1975,
1975,
1975,
1926,
1991,
1984,
1991,
1991,
1991,
1990,
1990,
1930,
1935,
1991,
1996,
1990,
1990,
1990,
1990,"
Duarte,2,"1972,
1936,"
Eagle Rock,3,"1987,
1983,
1986,"
East Hollywood,18,"1991,
1996,
1997,
1997,
1992,
1992,
1992,
1992,
1976,
1997,
1997,
1991,
2002,
1972,
1982,
1970,
1991,
1991,"
East Los Angeles,202,"1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1972,
1975,
1975,
1968,
1986,
1970,
1972,
1979,
1979,
1979,
1976,
1976,
1972,
1974,
1976,
1970,
1970,
1970,
1970,
1970,
1970,
1975,
1976,
1976,
1976,
1975,
1975,
1975,
1975,
1975,
1975,
1976,
1976,
1976,
1975,
1975,
1975,
1975,
1975,
1975,
1980,
1980,
1980,
1980,
1994,
1972,
1991,
1974,
1978,
1975,
1975,
1975,
1975,
1975,
1975,
1975,
1975,
1975,
1975,
1975,
1975,
1975,
1975,
1984,
1969,
1993,
1973,
1978,
1996,
1980,
1980,
1980,
1980,
1980,
1966,
1966,
1978,
1978,
1978,
1989,
1990,
1991,
1991,
1991,
1991,
1991,
1991,
2000,
2001,
2001,
2001,
1979,
1979,
1979,
1979,
1979,
1979,
1979,
1979,
1979,
1995,
1995,
1995,
1977,
1976,
1970,
1975,
1975,
1975,
1975,
1975,
1975,
1967,
1976,
1976,
1976,
1976,
1978,
1978,
1978,
1977,
1976,
1977,
1975,
1975,
1976,
1976,
1976,
1976,
1976,
1976,
1977,
1975,
1975,
1975,
1975,
1975,
1975,
1967,
1976,
1976,
1976,
1976,
1978,
1978,
1978,
1975,
1975,
1975,
1975,
1975,
1975,
1975,
1975,
1975,
1967,
1972,
1972,
1972,
1976,
1976,
1976,
1976,
1975,
1975,
1975,
1975,
1975,
1975,
1972,
1976,
1976,
1976,
1976,
1976,
1976,
1976,
1976,
1976,
1976,
1976,
1973,
1973,
1973,
1973,
1973,
1973,"
Echo Park,21,"1935,
1975,
1992,
1992,
1992,
1992,
1992,
1975,
1975,
1975,
1976,
1996,
1997,
2001,
1996,
1984,
1984,
1984,
1984,
1996,
1997,"
El Segundo,6,"1995,
1995,
1995,
1995,
1996,
1997,"
Exposition Park,5,"1975,
1975,
1975,
1975,
1999,"
Fairfax,10,"1985,
1991,
1993,
1994,
1994,
1994,
1994,
1991,
1993,
1998,"
Glendale,1,"1984,"
Green Meadows,3,"1970,
2002,
1995,"
Hancock Park,4,"1985,
1989,
1989,
1989,"
Harvard Heights,3,"1990,
1993,
1990,"
Hawthorne,1,1969
Highland Park,23,"1997,
1990,
1990,
1990,
1990,
1990,
1990,
1990,
1996,
1996,
1996,
1994,
1994,
1994,
1997,
1998,
1978,
1996,
1995,
1990,
1990,
1995,
1998,"
Hollywood,21,"1997,
1997,
1997,
1997,
1997,
1997,
1997,
1997,
1990,
1988,
1994,
1934,
1970,
1989,
1990,
1991,
1969,
1983,
1990,
1994,
1994,"
Hollywood Hills,2,"1990,
1984,"
Hollywood Hills West,1,"2010,"
Huntington Park,1,"1937,"
Hyde Park,2,"1993,
1992,"
Inglewood,5,"1991,
1940,
1990,
1990,
1990,"
Jefferson,3,"2000,
1995,
1976,"
Jefferson Park,7,"1926,
1991,
1990,
1996,
1996,
1996,
1989,"
La Verne,2,"1984,
1995,"
Larchmont,1,1992
Leimert Park,6,"2001,
2001,
2001,
2000,
2000,
2000,"
Lincoln Heights,43,"1975,
1988,
1976,
1976,
1977,
1977,
1976,
1976,
1977,
1977,
1977,
1977,
1976,
1977,
1977,
1977,
1977,
1977,
1977,
1977,
1972,
1972,
1994,
1994,
1994,
1994,
1975,
1994,
1992,
1992,
1981,
1992,
1977,
1977,
1977,
1977,
1990,
1988,
1988,
1988,
1988,
1988,
1977,"
Little Tokyo,8,"1990,
1977,
1977,
1980,
1980,
1980,
1977,
1964,"
Long Beach,81,"1996,
1989,
1992,
1940,
1990,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1990,
1994,
1994,
1994,
1994,
1998,
1990,
1990,
1990,
1990,
1990,
1990,
1992,
1992,
1992,
1992,
1992,
1942,
1981,
1982,
1994,
1994,
1994,
1994,
1994,
1998,
1995,
1990,
1990,
1990,
1990,
1991,
1988,
1989,
1989,
1989,
1979,
1986,
1992,
1989,
1994,
1991,
2000,
1990,
1993,
1993,
1993,
1993,
1993,
1993,
1990,
1990,
1990,
1990,
1990,
1991,
1991,
1991,
1982,
1994,
1994,
1994,
1995,
1935,
1939,"
Los Angeles,110,"1980,
1980,
1980,
1980,
1997,
1997,
1997,
1994,
1996,
1996,
1996,
1975,
1976,
1976,
1976,
1976,
1982,
1984,
1994,
1994,
1994,
1987,
1994,
1979,
1979,
1979,
1979,
1979,
1979,
1991,
1994,
1984,
1990,
1992,
1992,
1992,
1996,
1980,
1940,
1991,
1979,
1979,
1979,
1979,
1979,
1973,
1973,
1973,
1973,
1973,
1990,
1990,
1990,
1983,
1983,
1983,
1983,
1983,
1983,
1983,
1983,
1983,
1983,
1978,
1995,
1998,
1996,
1996,
1996,
1942,
1993,
1993,
1993,
1993,
1993,
1993,
1976,
1994,
1990,
1988,
1990,
1990,
1990,
1990,
1990,
1991,
1991,
1991,
1993,
1993,
1989,
1989,
1989,
1989,
1989,
1999,
1996,
1991,
1997,
1984,
1998,
1998,
1998,
1998,
1989,
2002,
2002,
2002,
2002,
1995,"
Los Feliz,1,1989
Manhattan Beach,1,1991
Mar Vista,3,"1986,
1986,
1995,"
Mid-City,8,"1991,
1999,
1992,
1993,
1993,
1993,
1993,
2002,"
Mid-Wilshire,2,"1991,
1961,"
Monrovia,1,1925
Montebello,1,1957
Montecito Heights,6,"1984,
1984,
1984,
1984,
1992,
1988,"
Monterey Park,13,"1980,
1980,
1980,
1980,
1980,
1981,
1984,
1975,
1975,
1975,
1995,
1995,
1975,"
None Found.,16,"1991,
1989,
1989,
1989,
1998,
1998,
1998,
1998,
1998,
1998,
1998,
1995,
1995,
1995,
1995,
1995,"
North Hills,3,"1996,
1990,
1984,"
North Hollywood,8,"2001,
2001,
2001,
2001,
1989,
1990,
2001,
2001,"
North Long Beach,5,"1992,
1940,
1990,
1990,
1990,"
Northridge,4,"1983,
1997,
2001,
1986,"
Orange,1,1994
Pacific Palisades,5,"1983,
1983,
1983,
1983,
1983,"
Pacoima,12,"1992,
1992,
1992,
1983,
1983,
1983,
1987,
1985,
1985,
1985,
1970,
1969,"
Palms,1,1990
Panorama City,4,"1995,
1995,
1995,
1995,"
Pasadena,9,"1928,
1992,
1986,
1929,
1989,
1995,
1989,
1991,
1993,"
Pico-Union,27,"1992,
1988,
1990,
2000,
1997,
1984,
1971,
1990,
1990,
1990,
1990,
1990,
1990,
1990,
1990,
1990,
1990,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1999,
1977,
2002,"
Pomona,8,"1995,
1956,
1997,
1999,
2000,
2000,
2000,
2000,"
Redondo Beach,4,"1937,
1937,
1937,
1991,"
Reseda,3,"1985,
1985,
1985,"
Rolling Hills Estates,1,1974
San Bernardino,1,1999
San Dimas,5,"1994,
1994,
1994,
1994,
1994,"
San Fernando,6,"1986,
1986,
1986,
1986,
1988,
1984,"
San Gabriel,5,"1984,
1984,
1984,
1984,
1984,"
San Pedro,1,1938
Santa Clarita,3,"1976,
1976,
1976,"
Santa Fe Springs,2,"1976,
1978,"
Santa Monica,20,"1981,
1980,
1980,
1980,
1980,
1998,
1998,
1998,
1993,
1990,
1990,
1990,
1990,
1997,
1989,
1976,
1970,
1991,
1935,
1970,"
Sawtelle,8,"2002,
2002,
2002,
2002,
1999,
1990,
1990,
1972,"
Sherman Oaks,1,1976
Signal Hill,1,1980
South Gate,4,"1941,
1988,
1995,
1938,"
South Los Angeles,4,"1974,
1974,
1974,
1974,"
South Park,3,"2000,
2000,
2000,"
South Pasadena,1,1937
Sun Valley,3,"1991,
1991,
1991,"
Sylmar,1,1991
Thousand Oaks,1,1972
Torrance,4,"1979,
1980,
1980,
1980,"
Tujunga,1,1978
University Park,2,"1984,
1932,"
Valley Glen,4,"1993,
1993,
1993,
2001,"
Van Nuys,12,"1990,
1990,
1990,
1995,
1990,
1990,
1990,
1990,
1990,
1991,
1992,
1989,"
Venice,42,"1978,
1978,
1978,
1978,
1953,
1973,
1996,
1991,
1941,
1941,
2002,
1990,
1975,
1975,
1975,
1975,
2002,
1992,
1995,
1978,
1992,
1969,
1989,
1989,
1989,
1989,
1989,
1990,
1992,
1992,
1992,
1992,
1979,
1970,
1970,
1970,
1970,
1984,
1991,
1991,
1991,
1995,"
Vermont Square,1,1992
Vermont Vista,3,"1999,
2000,
1994,"
Vermont-Slauson,7,"1991,
1998,
1990,
1990,
1990,
1990,
1990,"
View Park-Windsor Hills,1,1991
Walnut,1,1955
Walnut Park,3,"1975,
1975,
1975,"
Watts,11,"1988
1988,
1993,
1991,
1989,
1996,
1976,
2002,
2002,
2002,
2002,"
West Adams,5,"1994,
1992,
1992,
1992,
1989,"
West Athens,1,1997
West Hollywood,70,"2001,
1989,
2015,
1988,
2009,
1991,
2013,
2013,
2000,
1996,
1997,
2011,
2009,
2002,
2009,
2016,
1991,
1987,
1988,
1987,
2011,
1972,
1987,
1991,
1987,
2017,
1998,
2012,
2001,
1988,
2013,
1981,
2008,
2008,
2002,
2017,
1987,
1991,
2008,
2009,
1988,
2009,
2003,
1990,
1999,
2006,
1989,
1990,
2017,
2015,
2003,
1987,
1989,
1995,
1995,
2003,
1992,
1988,
1996,
1988,
2000,
1995,
2011,
1992,
2008,
2013,
1989,
1950,
1987,
1999,"
West Los Angeles,1,1997
Westchester,7,"1990,
1990,
1990,
1990,
1984,
1984,
1984,"
Westlake,29,"1997,
1989,
1979,
1995,
1989,
1987,
1994,
1994,
1994,
1995,
1997,
1997,
1997,
1999,
1984,
1978,
1976,
1986,
1993,
1993,
1993,
1993,
1993,
1990,
1984,
1990,
1995,
1992,
1985,"
Westmont,1,1997
Westwood,5,"1984,
1984,
1984,
1968,
1970,"
Whittier,1,1937
Willowbrook,3,"1999,
1999,
1999,"
Willowville,2,"1994,
1990,"
Winnetka,3,"1986,
1966,
1968,"