,County,count,years,artCountperYear
0,Adams-Normandie,13,"['1940', '1990']","[7, 6]"
1,Alhambra,2,"['1930', '1970']","[1, 1]"
2,Angelino Heights,10,"['1930', '1980', '1990']","[1, 5, 4]"
3,Arleta,1,['1990'],[1]
4,Athens,1,['1990'],[1]
5,Baldwin Hills/Crenshaw,1,['1990'],[1]
6,Bell,1,['1990'],[1]
7,Belmont Shore,3,"['1930', '1990']","[1, 2]"
8,Beverly Grove,3,"['1960', '1990']","[1, 2]"
9,Beverly Hills,1,['1930'],[1]
10,Bixby Knolls,2,['1980'],[2]
11,Boyle Heights,389,"['1970', '1980', '1990', 'Unknown']","[302, 42, 40, 5]"
12,Broadway-Manchester,3,['1970'],[3]
13,Bunker Hill,4,"['1970', '1980', '1990']","[1, 1, 2]"
14,Burbank,3,"['1940', '1990']","[2, 1]"
15,Calabasas,1,['1980'],[1]
16,Carson,3,['1990'],[3]
17,Central-Alameda,3,"['1930', '1990', '2000']","[1, 1, 1]"
18,Century City,1,['1930'],[1]
19,Chesterfield Square,1,['1990'],[1]
20,Cheviot Hills,4,['1990'],[4]
21,Chinatown,7,"['1940', '1960', '1970', '1980', '1990']","[2, 1, 2, 1, 1]"
22,Claremont,14,"['1930', '1940', '1960', '2000']","[3, 5, 5, 1]"
23,Commerce,5,"['1970', '1980', '1990']","[1, 3, 1]"
24,Compton,5,"['1930', '1970', '1990']","[1, 1, 3]"
25,Culver City,6,"['1970', '1990']","[5, 1]"
26,Del Rey,6,['1980'],[6]
27,Downey,1,['1980'],[1]
28,Downtown,64,"['1920', '1930', '1940', '1970', '1980', '1990']","[1, 3, 1, 9, 19, 31]"
29,Duarte,2,"['1930', '1970']","[1, 1]"
30,Eagle Rock,3,['1980'],[3]
31,East Hollywood,18,"['1970', '1980', '1990', '2000']","[3, 1, 13, 1]"
32,East Los Angeles,202,"['1960', '1970', '1980', '1990', '2000']","[7, 165, 12, 14, 4]"
33,Echo Park,21,"['1970', '1980', '1990', '2000', 'Unknown']","[5, 4, 10, 1, 1]"
34,El Segundo,6,['1990'],[6]
35,Exposition Park,5,"['1970', '1990']","[4, 1]"
36,Fairfax,10,"['1980', '1990']","[1, 9]"
37,Glendale,1,['1980'],[1]
38,Green Meadows,3,"['1970', '1990', '2000']","[1, 1, 1]"
39,Hancock Park,4,['1980'],[4]
40,Harvard Heights,3,"['1980', '1990']","[1, 2]"
41,Hawthorne,1,['1960'],[1]
42,Highland Park,23,"['1970', '1990']","[1, 22]"
43,Hollywood,21,"['1930', '1940', '1960', '1970', '1980', '1990']","[1, 1, 1, 1, 3, 14]"
44,Hollywood Hills,2,"['1980', '1990']","[1, 1]"
45,Hollywood Hills West,1,['2010'],[1]
46,Huntington Park,1,['1930'],[1]
47,Hyde Park,2,['1990'],[2]
48,Inglewood,5,"['1940', '1990']","[1, 4]"
49,Jefferson,3,"['1970', '1990', '2000']","[1, 1, 1]"
50,Jefferson Park,7,"['1920', '1980', '1990']","[1, 1, 5]"
51,La Verne,2,"['1980', '1990']","[1, 1]"
52,Larchmont,1,['1990'],[1]
53,Leimert Park,6,['2000'],[6]
54,Lincoln Heights,43,"['1970', '1980', '1990']","[27, 7, 9]"
55,Little Tokyo,8,"['1960', '1970', '1980', '1990']","[1, 3, 3, 1]"
56,Long Beach,81,"['1930', '1940', '1970', '1980', '1990', '2000']","[2, 2, 1, 10, 65, 1]"
57,Los Angeles,110,"['1940', '1970', '1980', '1990', 'Unknown']","[2, 32, 17, 54, 5]"
58,Los Feliz,1,['1980'],[1]
59,Manhattan Beach,1,['1990'],[1]
60,Mar Vista,3,"['1980', '1990']","[2, 1]"
61,Mid-City,8,"['1990', 'Unknown']","[7, 1]"
62,Mid-Wilshire,2,"['1960', '1990']","[1, 1]"
63,Monrovia,1,['1920'],[1]
64,Montebello,1,['1950'],[1]
65,Montecito Heights,6,"['1980', '1990']","[5, 1]"
66,Monterey Park,13,"['1970', '1980', '1990']","[4, 7, 2]"
67,None Found.,16,"['1950', '1980', '1990']","[7, 3, 6]"
68,North Hills,3,"['1980', '1990']","[1, 2]"
69,North Hollywood,8,"['1980', '1990', '2000']","[1, 1, 6]"
70,North Long Beach,5,"['1940', '1990']","[1, 4]"
71,Northridge,4,"['1980', '1990', '2000']","[2, 1, 1]"
72,Orange,1,['1990'],[1]
73,Pacific Palisades,5,['1980'],[5]
74,Pacoima,12,"['1950', '1970', '1980', '1990']","[1, 1, 7, 3]"
75,Palms,1,['1990'],[1]
76,Panorama City,4,['1990'],[4]
77,Pasadena,9,"['1920', '1980', '1990']","[2, 3, 4]"
78,Pico-Union,27,"['1970', '1980', '1990', '2000', 'Unknown']","[2, 2, 21, 1, 1]"
79,Pomona,8,"['1950', '1990', '2000']","[1, 3, 4]"
80,Redondo Beach,4,"['1930', '1990']","[3, 1]"
81,Reseda,3,['1980'],[3]
82,Rolling Hills Estates,1,['1970'],[1]
83,San Bernardino,1,['1990'],[1]
84,San Dimas,5,['1990'],[5]
85,San Fernando,6,['1980'],[6]
86,San Gabriel,5,['1980'],[5]
87,San Pedro,1,['1930'],[1]
88,Santa Clarita,3,['1970'],[3]
89,Santa Fe Springs,2,['1970'],[2]
90,Santa Monica,20,"['1930', '1970', '1980', '1990']","[1, 3, 6, 10]"
91,Sawtelle,8,"['1970', '1990', '2000']","[1, 3, 4]"
92,Sherman Oaks,1,['1970'],[1]
93,Signal Hill,1,['1980'],[1]
94,South Gate,4,"['1930', '1940', '1980', '1990']","[1, 1, 1, 1]"
95,South Los Angeles,4,['1970'],[4]
96,South Park,3,['2000'],[3]
97,South Pasadena,1,['1930'],[1]
98,Sun Valley,3,['1990'],[3]
99,Sylmar,1,['1990'],[1]
100,Thousand Oaks,1,['1970'],[1]
101,Torrance,4,"['1970', '1980']","[1, 3]"
102,Tujunga,1,['1970'],[1]
103,University Park,2,"['1930', '1980']","[1, 1]"
104,Valley Glen,4,"['1990', '2000']","[3, 1]"
105,Van Nuys,12,"['1980', '1990']","[1, 11]"
106,Venice,42,"['1940', '1950', '1960', '1970', '1980', '1990', '2000']","[2, 1, 1, 15, 6, 15, 2]"
107,Vermont Square,1,['1990'],[1]
108,Vermont Vista,3,"['1990', '2000']","[2, 1]"
109,Vermont-Slauson,7,['1990'],[7]
110,View Park-Windsor Hills,1,['1990'],[1]
111,Walnut,1,['1950'],[1]
112,Walnut Park,3,['1970'],[3]
113,Watts,11,"['1970', '1980', '1990', 'Unknown']","[1, 3, 3, 4]"
114,West Adams,5,"['1980', '1990']","[1, 4]"
115,West Athens,1,['1990'],[1]
116,West Hollywood,70,"['#VALUE!', '1970', '1980', '1990', '2000', '2010']","[1, 1, 18, 17, 19, 14]"
117,West Los Angeles,1,['1990'],[1]
118,Westchester,7,"['1980', '1990']","[3, 4]"
119,Westlake,29,"['1970', '1980', '1990']","[4, 12, 13]"
120,Westmont,1,['1970'],[1]
121,Westwood,5,"['1960', '1970', '1980']","[1, 1, 3]"
122,Whittier,1,['1930'],[1]
123,Willowbrook,3,['1990'],[3]
124,Willowville,2,['1990'],[2]
125,Winnetka,3,"['1960', '1980']","[2, 1]"
